funcid,dim,milestone,error
3,10,1,3.186541e+04
3,10,2,2.369865e+04
3,10,3,2.369865e+04
3,10,5,1.841289e+04
3,10,10,1.810001e+04
3,10,20,6.738998e+03
3,10,30,4.718233e+03
3,10,40,1.860779e+03
3,10,50,1.298027e+03
3,10,60,9.977193e+02
3,10,70,9.977193e+02
3,10,80,8.339523e+02
3,10,90,6.823801e+02
3,10,100,6.823801e+02
3,10,1,3.585725e+04
3,10,2,3.585725e+04
3,10,3,3.585725e+04
3,10,5,3.585725e+04
3,10,10,1.542458e+04
3,10,20,6.433101e+03
3,10,30,4.284654e+03
3,10,40,3.379952e+03
3,10,50,8.723163e+02
3,10,60,8.723163e+02
3,10,70,8.723163e+02
3,10,80,8.723163e+02
3,10,90,6.547668e+02
3,10,100,6.547668e+02
3,10,1,6.440940e+04
3,10,2,3.428271e+04
3,10,3,3.399382e+04
3,10,5,2.557573e+04
3,10,10,2.557573e+04
3,10,20,6.939695e+03
3,10,30,6.939695e+03
3,10,40,5.344449e+03
3,10,50,4.820393e+03
3,10,60,1.744575e+03
3,10,70,1.744575e+03
3,10,80,1.744575e+03
3,10,90,1.695235e+03
3,10,100,1.607568e+03
3,10,1,3.646178e+04
3,10,2,3.398812e+04
3,10,3,3.398812e+04
3,10,5,2.897308e+04
3,10,10,1.521128e+04
3,10,20,1.049249e+04
3,10,30,6.525545e+03
3,10,40,6.525545e+03
3,10,50,2.686167e+03
3,10,60,1.206921e+03
3,10,70,6.028851e+02
3,10,80,6.028851e+02
3,10,90,5.369033e+02
3,10,100,5.369033e+02
3,10,1,3.660517e+04
3,10,2,3.660517e+04
3,10,3,2.960562e+04
3,10,5,2.350393e+04
3,10,10,2.038944e+04
3,10,20,9.298541e+03
3,10,30,5.129268e+03
3,10,40,3.947653e+03
3,10,50,3.564193e+03
3,10,60,1.610340e+03
3,10,70,7.246519e+02
3,10,80,7.246519e+02
3,10,90,6.336658e+02
3,10,100,6.336658e+02
3,10,1,6.327215e+04
3,10,2,5.420599e+04
3,10,3,3.041922e+04
3,10,5,2.416252e+04
3,10,10,2.416252e+04
3,10,20,2.160202e+04
3,10,30,6.622697e+03
3,10,40,3.427635e+03
3,10,50,9.591951e+02
3,10,60,9.591951e+02
3,10,70,9.591951e+02
3,10,80,5.386495e+02
3,10,90,5.386495e+02
3,10,100,5.386495e+02
3,10,1,5.045376e+04
3,10,2,3.566327e+04
3,10,3,2.384780e+04
3,10,5,2.384780e+04
3,10,10,2.074723e+04
3,10,20,1.349340e+04
3,10,30,4.654417e+03
3,10,40,2.978601e+03
3,10,50,1.070256e+03
3,10,60,1.070256e+03
3,10,70,1.070256e+03
3,10,80,6.186224e+02
3,10,90,6.186224e+02
3,10,100,6.186224e+02
3,10,1,5.864619e+04
3,10,2,5.864619e+04
3,10,3,5.102796e+04
3,10,5,4.068991e+04
3,10,10,2.371592e+04
3,10,20,1.025762e+04
3,10,30,7.679714e+03
3,10,40,3.352317e+03
3,10,50,2.533888e+03
3,10,60,8.823335e+02
3,10,70,8.823335e+02
3,10,80,8.823335e+02
3,10,90,4.856273e+02
3,10,100,4.856273e+02
3,10,1,4.234382e+04
3,10,2,3.544910e+04
3,10,3,2.749418e+04
3,10,5,2.749418e+04
3,10,10,1.714531e+04
3,10,20,1.547099e+04
3,10,30,9.801953e+03
3,10,40,2.490784e+03
3,10,50,2.317274e+03
3,10,60,1.615246e+03
3,10,70,1.221022e+03
3,10,80,5.617311e+02
3,10,90,5.617311e+02
3,10,100,5.617311e+02
3,10,1,5.906871e+04
3,10,2,3.756073e+04
3,10,3,3.558711e+04
3,10,5,2.247596e+04
3,10,10,2.247596e+04
3,10,20,1.973513e+04
3,10,30,6.975356e+03
3,10,40,2.032153e+03
3,10,50,1.192468e+03
3,10,60,1.192468e+03
3,10,70,1.192468e+03
3,10,80,4.458173e+02
3,10,90,4.458173e+02
3,10,100,4.458173e+02
3,10,1,3.186541e+04
3,10,2,2.369865e+04
3,10,3,2.369865e+04
3,10,5,1.841289e+04
3,10,10,1.810001e+04
3,10,20,6.738998e+03
3,10,30,4.718233e+03
3,10,40,1.860779e+03
3,10,50,1.298027e+03
3,10,60,9.977193e+02
3,10,70,9.977193e+02
3,10,80,8.339523e+02
3,10,90,6.823801e+02
3,10,100,6.823801e+02
3,10,1,3.585725e+04
3,10,2,3.585725e+04
3,10,3,3.585725e+04
3,10,5,3.585725e+04
3,10,10,1.542458e+04
3,10,20,6.433101e+03
3,10,30,4.284654e+03
3,10,40,3.379952e+03
3,10,50,8.723163e+02
3,10,60,8.723163e+02
3,10,70,8.723163e+02
3,10,80,8.723163e+02
3,10,90,6.547668e+02
3,10,100,6.547668e+02
3,10,1,6.440940e+04
3,10,2,3.428271e+04
3,10,3,3.399382e+04
3,10,5,2.557573e+04
3,10,10,2.557573e+04
3,10,20,6.939695e+03
3,10,30,6.939695e+03
3,10,40,5.344449e+03
3,10,50,4.820393e+03
3,10,60,1.744575e+03
3,10,70,1.744575e+03
3,10,80,1.744575e+03
3,10,90,1.695235e+03
3,10,100,1.607568e+03
3,10,1,3.646178e+04
3,10,2,3.398812e+04
3,10,3,3.398812e+04
3,10,5,2.897308e+04
3,10,10,1.521128e+04
3,10,20,1.049249e+04
3,10,30,6.525545e+03
3,10,40,6.525545e+03
3,10,50,2.686167e+03
3,10,60,1.206921e+03
3,10,70,6.028851e+02
3,10,80,6.028851e+02
3,10,90,5.369033e+02
3,10,100,5.369033e+02
3,10,1,3.660517e+04
3,10,2,3.660517e+04
3,10,3,2.960562e+04
3,10,5,2.350393e+04
3,10,10,2.038944e+04
3,10,20,9.298541e+03
3,10,30,5.129268e+03
3,10,40,3.947653e+03
3,10,50,3.564193e+03
3,10,60,1.610340e+03
3,10,70,7.246519e+02
3,10,80,7.246519e+02
3,10,90,6.336658e+02
3,10,100,6.336658e+02
3,10,1,6.327215e+04
3,10,2,5.420599e+04
3,10,3,3.041922e+04
3,10,5,2.416252e+04
3,10,10,2.416252e+04
3,10,20,2.160202e+04
3,10,30,6.622697e+03
3,10,40,3.427635e+03
3,10,50,9.591951e+02
3,10,60,9.591951e+02
3,10,70,9.591951e+02
3,10,80,5.386495e+02
3,10,90,5.386495e+02
3,10,100,5.386495e+02
3,10,1,5.045376e+04
3,10,2,3.566327e+04
3,10,3,2.384780e+04
3,10,5,2.384780e+04
3,10,10,2.074723e+04
3,10,20,1.349340e+04
3,10,30,4.654417e+03
3,10,40,2.978601e+03
3,10,50,1.070256e+03
3,10,60,1.070256e+03
3,10,70,1.070256e+03
3,10,80,6.186224e+02
3,10,90,6.186224e+02
3,10,100,6.186224e+02
3,10,1,5.864619e+04
3,10,2,5.864619e+04
3,10,3,5.102796e+04
3,10,5,4.068991e+04
3,10,10,2.371592e+04
3,10,20,1.025762e+04
3,10,30,7.679714e+03
3,10,40,3.352317e+03
3,10,50,2.533888e+03
3,10,60,8.823335e+02
3,10,70,8.823335e+02
3,10,80,8.823335e+02
3,10,90,4.856273e+02
3,10,100,4.856273e+02
3,10,1,4.234382e+04
3,10,2,3.544910e+04
3,10,3,2.749418e+04
3,10,5,2.749418e+04
3,10,10,1.714531e+04
3,10,20,1.547099e+04
3,10,30,9.801953e+03
3,10,40,2.490784e+03
3,10,50,2.317274e+03
3,10,60,1.615246e+03
3,10,70,1.221022e+03
3,10,80,5.617311e+02
3,10,90,5.617311e+02
3,10,100,5.617311e+02
3,10,1,5.906871e+04
3,10,2,3.756073e+04
3,10,3,3.558711e+04
3,10,5,2.247596e+04
3,10,10,2.247596e+04
3,10,20,1.973513e+04
3,10,30,6.975356e+03
3,10,40,2.032153e+03
3,10,50,1.192468e+03
3,10,60,1.192468e+03
3,10,70,1.192468e+03
