funcid,dim,milestone,error
12,30,1,9.150047e+09
12,30,2,9.150047e+09
12,30,3,9.150047e+09
12,30,5,9.150047e+09
12,30,10,9.150047e+09
12,30,20,9.150047e+09
12,30,30,9.150047e+09
12,30,40,9.150047e+09
12,30,50,5.889271e+09
12,30,60,5.052922e+09
12,30,70,4.986445e+09
12,30,80,4.489882e+09
12,30,90,4.489882e+09
12,30,100,4.489882e+09
12,30,1,1.428070e+10
12,30,2,1.428070e+10
12,30,3,9.219041e+09
12,30,5,9.219041e+09
12,30,10,9.219041e+09
12,30,20,8.649545e+09
12,30,30,8.649545e+09
12,30,40,7.924356e+09
12,30,50,6.448905e+09
12,30,60,6.448905e+09
12,30,70,4.678877e+09
12,30,80,4.678877e+09
12,30,90,4.283201e+09
12,30,100,4.283201e+09
12,30,1,1.416659e+10
12,30,2,6.757077e+09
12,30,3,6.757077e+09
12,30,5,6.757077e+09
12,30,10,6.757077e+09
12,30,20,6.757077e+09
12,30,30,6.757077e+09
12,30,40,6.757077e+09
12,30,50,6.046514e+09
12,30,60,3.606373e+09
12,30,70,3.606373e+09
12,30,80,3.606373e+09
12,30,90,3.606373e+09
12,30,100,3.606373e+09
12,30,1,1.206451e+10
12,30,2,1.206451e+10
12,30,3,1.206451e+10
12,30,5,1.094411e+10
12,30,10,1.094411e+10
12,30,20,1.094411e+10
12,30,30,9.109825e+09
12,30,40,9.109825e+09
12,30,50,5.228595e+09
12,30,60,4.824712e+09
12,30,70,3.949356e+09
12,30,80,3.949356e+09
12,30,90,3.949356e+09
12,30,100,3.949356e+09
12,30,1,1.050581e+10
12,30,2,1.019885e+10
12,30,3,1.006242e+10
12,30,5,1.006242e+10
12,30,10,8.152041e+09
12,30,20,8.152041e+09
12,30,30,8.152041e+09
12,30,40,5.828797e+09
12,30,50,5.828797e+09
12,30,60,5.314352e+09
12,30,70,4.962973e+09
12,30,80,4.962973e+09
12,30,90,4.962973e+09
12,30,100,4.962973e+09
12,30,1,9.212486e+09
12,30,2,9.212486e+09
12,30,3,9.212486e+09
12,30,5,9.212486e+09
12,30,10,8.458359e+09
12,30,20,8.458359e+09
12,30,30,8.458359e+09
12,30,40,8.070261e+09
12,30,50,6.581183e+09
12,30,60,5.616819e+09
12,30,70,5.271182e+09
12,30,80,5.245762e+09
12,30,90,5.245762e+09
12,30,100,5.245762e+09
12,30,1,1.275125e+10
12,30,2,1.184213e+10
12,30,3,1.184213e+10
12,30,5,1.184213e+10
12,30,10,1.059120e+10
12,30,20,9.913864e+09
12,30,30,9.700123e+09
12,30,40,7.901712e+09
12,30,50,7.901712e+09
12,30,60,5.531438e+09
12,30,70,2.540665e+09
12,30,80,2.540665e+09
12,30,90,2.540665e+09
12,30,100,2.540665e+09
12,30,1,1.315148e+10
12,30,2,1.315148e+10
12,30,3,1.134928e+10
12,30,5,1.134928e+10
12,30,10,1.134928e+10
12,30,20,9.330219e+09
12,30,30,7.145692e+09
12,30,40,6.566404e+09
12,30,50,5.733346e+09
