Algorithm,Seed,Dataset,Ratio,K,Fitness,Distancia,Incumplimiento,Evaluaciones,Time_ms
Greedy,12345,zoo,15,7,1.47324,1.4677,0.00150602,1,2
Random,12345,zoo,15,7,1.91747,1.61242,0.0828313,100000,384
BL,12345,zoo,15,7,1.08249,0.977111,0.0286145,4779,8
AM-BEST (Mejor P2),12345,zoo,15,7,1.17019,1.00935,0.0436747,100000,341
BMB,12345,zoo,15,7,1.02981,0.824596,0.0557229,26118,40
ILS-BL,12345,zoo,15,7,1.02787,0.916946,0.0301205,23764,34
ES,12345,zoo,15,7,0.999143,0.832755,0.0451807,54503,77
ILS-ES,12345,zoo,15,7,0.984675,0.829379,0.0421687,98447,137
Greedy,67890,zoo,15,7,1.50518,1.49409,0.00301205,1,2
Random,67890,zoo,15,7,1.93481,1.56875,0.0993976,100000,305
BL,67890,zoo,15,7,1.0655,0.949025,0.0316265,5914,9
AM-BEST (Mejor P2),67890,zoo,15,7,1.1047,0.938313,0.0451807,100000,325
BMB,67890,zoo,15,7,1.04123,0.885932,0.0421687,29787,46
ILS-BL,67890,zoo,15,7,0.99599,0.818509,0.0481928,25239,37
ES,67890,zoo,15,7,0.956212,0.850833,0.0286145,79158,111
ILS-ES,67890,zoo,15,7,0.95487,0.705287,0.0677711,90275,125
Greedy,13579,zoo,15,7,1.5246,1.5246,0.0,1,1
Random,13579,zoo,15,7,1.92324,1.40189,0.141566,100000,304
BL,13579,zoo,15,7,1.03543,0.852402,0.0496988,4624,7
AM-BEST (Mejor P2),13579,zoo,15,7,1.12683,0.965991,0.0436747,100000,314
BMB,13579,zoo,15,7,1.03492,0.907356,0.0346386,24060,36
ILS-BL,13579,zoo,15,7,1.03543,0.852402,0.0496988,19066,28
ES,13579,zoo,15,7,0.979491,0.790917,0.0512048,79784,109
ILS-ES,13579,zoo,15,7,0.956604,0.729206,0.061747,98700,136
Greedy,24680,zoo,15,7,1.4915,1.48596,0.00150602,1,1
Random,24680,zoo,15,7,1.92232,1.584,0.0918675,100000,322
BL,24680,zoo,15,7,1.11477,0.904011,0.0572289,8009,12
AM-BEST (Mejor P2),24680,zoo,15,7,1.28194,1.1932,0.0240964,100000,337
BMB,24680,zoo,15,7,1.00551,0.789201,0.0587349,30809,49
ILS-BL,24680,zoo,15,7,1.03034,0.802939,0.061747,24307,36
ES,24680,zoo,15,7,0.997972,0.83713,0.0436747,72081,107
ILS-ES,24680,zoo,15,7,0.984489,0.818101,0.0451807,79416,120
Greedy,98765,zoo,15,7,1.48775,1.4822,0.00150602,1,1
Random,98765,zoo,15,7,1.94594,1.55216,0.106928,100000,325
BL,98765,zoo,15,7,1.1356,1.04686,0.0240964,6041,9
AM-BEST (Mejor P2),98765,zoo,15,7,1.18488,1.04067,0.0391566,100000,388
BMB,98765,zoo,15,7,1.01878,0.796929,0.060241,33155,63
ILS-BL,98765,zoo,15,7,1.10185,0.979827,0.0331325,23859,42
ES,98765,zoo,15,7,1.00042,0.828483,0.0466867,41960,77
ILS-ES,98765,zoo,15,7,0.965963,0.805121,0.0436747,92510,177
Greedy,43210,zoo,15,7,1.4902,1.47911,0.00301205,1,2
Random,43210,zoo,15,7,1.92841,1.60118,0.0888554,100000,420
BL,43210,zoo,15,7,1.11248,0.946096,0.0451807,5482,11
AM-BEST (Mejor P2),43210,zoo,15,7,1.06574,0.954811,0.0301205,100000,409
BMB,43210,zoo,15,7,0.989099,0.828257,0.0436747,29291,52
ILS-BL,43210,zoo,15,7,1.01864,0.807881,0.0572289,23235,38
ES,43210,zoo,15,7,0.964347,0.809051,0.0421687,69679,105
