funcid,dim,milestone,error
4,30,1,1.710900e+04
4,30,2,1.262653e+04
4,30,3,1.262653e+04
4,30,5,9.214922e+03
4,30,10,9.214922e+03
4,30,20,6.969827e+03
4,30,30,3.120049e+03
4,30,40,1.487135e+03
4,30,50,1.487135e+03
4,30,60,1.418301e+03
4,30,70,1.172860e+03
4,30,80,1.172860e+03
4,30,90,1.172860e+03
4,30,100,1.172860e+03
4,30,1,7.420441e+03
4,30,2,7.420441e+03
4,30,3,7.420441e+03
4,30,5,7.420441e+03
4,30,10,5.540357e+03
4,30,20,5.540357e+03
4,30,30,3.106884e+03
4,30,40,1.123484e+03
4,30,50,1.123484e+03
4,30,60,8.937923e+02
4,30,70,8.937923e+02
4,30,80,8.937923e+02
4,30,90,8.937923e+02
4,30,100,8.937923e+02
4,30,1,2.244677e+04
4,30,2,2.075369e+04
4,30,3,1.967786e+04
4,30,5,1.797326e+04
4,30,10,1.229215e+04
4,30,20,6.284930e+03
4,30,30,1.696824e+03
4,30,40,1.356643e+03
4,30,50,1.258150e+03
4,30,60,8.288789e+02
4,30,70,7.054899e+02
4,30,80,7.054899e+02
4,30,90,7.054899e+02
4,30,100,7.054899e+02
4,30,1,1.948365e+04
4,30,2,1.948365e+04
4,30,3,1.491871e+04
4,30,5,1.206047e+04
4,30,10,5.884127e+03
4,30,20,4.126838e+03
4,30,30,2.478822e+03
4,30,40,1.911824e+03
4,30,50,1.407868e+03
4,30,60,1.407868e+03
4,30,70,1.125318e+03
4,30,80,1.125318e+03
4,30,90,1.125318e+03
4,30,100,1.125318e+03
4,30,1,2.273276e+04
4,30,2,1.295077e+04
4,30,3,1.295077e+04
4,30,5,1.148827e+04
4,30,10,1.072823e+04
4,30,20,4.590896e+03
4,30,30,3.689712e+03
4,30,40,2.099025e+03
4,30,50,1.015253e+03
4,30,60,1.015253e+03
4,30,70,8.517531e+02
4,30,80,8.517531e+02
4,30,90,8.304563e+02
4,30,100,8.304563e+02
4,30,1,9.870470e+03
4,30,2,9.870470e+03
4,30,3,9.870470e+03
4,30,5,9.870470e+03
4,30,10,6.951652e+03
4,30,20,6.951652e+03
4,30,30,3.128978e+03
4,30,40,2.362228e+03
4,30,50,1.789768e+03
4,30,60,1.514972e+03
4,30,70,1.514972e+03
4,30,80,1.218832e+03
4,30,90,1.218832e+03
4,30,100,1.218832e+03
4,30,1,2.389712e+04
4,30,2,9.772135e+03
4,30,3,9.772135e+03
4,30,5,9.772135e+03
4,30,10,9.772135e+03
4,30,20,5.235730e+03
4,30,30,3.545567e+03
4,30,40,2.353472e+03
4,30,50,1.765757e+03
4,30,60,1.343762e+03
4,30,70,9.390162e+02
4,30,80,9.390162e+02
4,30,90,9.390162e+02
4,30,100,9.390162e+02
4,30,1,1.182059e+04
4,30,2,1.182059e+04
4,30,3,1.182059e+04
4,30,5,1.067670e+04
4,30,10,5.457050e+03
4,30,20,5.457050e+03
4,30,30,4.276223e+03
4,30,40,2.020321e+03
4,30,50,1.691432e+03
4,30,60,9.773352e+02
4,30,70,8.141240e+02
4,30,80,8.141240e+02
4,30,90,8.141240e+02
4,30,100,8.141240e+02
4,30,1,1.098775e+04
4,30,2,1.098775e+04
4,30,3,1.098775e+04
4,30,5,1.098775e+04
4,30,10,1.098775e+04
4,30,20,6.028112e+03
4,30,30,4.198816e+03
4,30,40,3.134728e+03
4,30,50,3.134728e+03
4,30,60,1.605302e+03
4,30,70,1.134908e+03
4,30,80,1.134908e+03
4,30,90,1.134908e+03
4,30,100,1.134908e+03
4,30,1,1.301374e+04
4,30,2,1.301374e+04
4,30,3,1.301374e+04
4,30,5,1.301374e+04
4,30,10,1.013038e+04
4,30,20,6.666320e+03
4,30,30,3.208476e+03
4,30,40,1.743747e+03
4,30,50,1.062039e+03
4,30,60,9.651585e+02
4,30,70,5.082727e+02
4,30,80,4.910377e+02
4,30,90,4.910377e+02
4,30,100,4.910377e+02
4,30,1,1.710900e+04
4,30,2,1.262653e+04
4,30,3,1.262653e+04
4,30,5,9.214922e+03
4,30,10,9.214922e+03
4,30,20,6.969827e+03
4,30,30,3.120049e+03
4,30,40,1.487135e+03
4,30,50,1.487135e+03
4,30,60,1.418301e+03
4,30,70,1.172860e+03
4,30,80,1.172860e+03
4,30,90,1.172860e+03
4,30,100,1.172860e+03
4,30,1,7.420441e+03
4,30,2,7.420441e+03
4,30,3,7.420441e+03
4,30,5,7.420441e+03
4,30,10,5.540357e+03
4,30,20,5.540357e+03
4,30,30,3.106884e+03
4,30,40,1.123484e+03
4,30,50,1.123484e+03
4,30,60,8.937923e+02
4,30,70,8.937923e+02
4,30,80,8.937923e+02
4,30,90,8.937923e+02
4,30,100,8.937923e+02
4,30,1,2.244677e+04
4,30,2,2.075369e+04
4,30,3,1.967786e+04
4,30,5,1.797326e+04
4,30,10,1.229215e+04
4,30,20,6.284930e+03
4,30,30,1.696824e+03
4,30,40,1.356643e+03
4,30,50,1.258150e+03
4,30,60,8.288789e+02
4,30,70,7.054899e+02
4,30,80,7.054899e+02
4,30,90,7.054899e+02
4,30,100,7.054899e+02
4,30,1,1.948365e+04
4,30,2,1.948365e+04
4,30,3,1.491871e+04
4,30,5,1.206047e+04
4,30,10,5.884127e+03
4,30,20,4.126838e+03
4,30,30,2.478822e+03
4,30,40,1.911824e+03
4,30,50,1.407868e+03
4,30,60,1.407868e+03
4,30,70,1.125318e+03
4,30,80,1.125318e+03
4,30,90,1.125318e+03
4,30,100,1.125318e+03
4,30,1,2.273276e+04
4,30,2,1.295077e+04
4,30,3,1.295077e+04
4,30,5,1.148827e+04
4,30,10,1.072823e+04
4,30,20,4.590896e+03
4,30,30,3.689712e+03
4,30,40,2.099025e+03
4,30,50,1.015253e+03
4,30,60,1.015253e+03
4,30,70,8.517531e+02
4,30,80,8.517531e+02
4,30,90,8.304563e+02
4,30,100,8.304563e+02
4,30,1,9.870470e+03
4,30,2,9.870470e+03
4,30,3,9.870470e+03
4,30,5,9.870470e+03
4,30,10,6.951652e+03
4,30,20,6.951652e+03
4,30,30,3.128978e+03
4,30,40,2.362228e+03
4,30,50,1.789768e+03
4,30,60,1.514972e+03
4,30,70,1.514972e+03
4,30,80,1.218832e+03
4,30,90,1.218832e+03
4,30,100,1.218832e+03
4,30,1,2.389712e+04
4,30,2,9.772135e+03
4,30,3,9.772135e+03
4,30,5,9.772135e+03
4,30,10,9.772135e+03
4,30,20,5.235730e+03
4,30,30,3.545567e+03
4,30,40,2.353472e+03
4,30,50,1.765757e+03
4,30,60,1.343762e+03
4,30,70,9.390162e+02
4,30,80,9.390162e+02
4,30,90,9.390162e+02
4,30,100,9.390162e+02
4,30,1,1.182059e+04
4,30,2,1.182059e+04
4,30,3,1.182059e+04
4,30,5,1.067670e+04
4,30,10,5.457050e+03
4,30,20,5.457050e+03
4,30,30,4.276223e+03
4,30,40,2.020321e+03
4,30,50,1.691432e+03
4,30,60,9.773352e+02
4,30,70,8.141240e+02
4,30,80,8.141240e+02
4,30,90,8.141240e+02
4,30,100,8.141240e+02
4,30,1,1.098775e+04
4,30,2,1.098775e+04
4,30,3,1.098775e+04
4,30,5,1.098775e+04
4,30,10,1.098775e+04
4,30,20,6.028112e+03
4,30,30,4.198816e+03
4,30,40,3.134728e+03
4,30,50,3.134728e+03
4,30,60,1.605302e+03
4,30,70,1.134908e+03
4,30,80,1.134908e+03
4,30,90,1.134908e+03
4,30,100,1.134908e+03
4,30,1,1.301374e+04
4,30,2,1.301374e+04
4,30,3,1.301374e+04
4,30,5,1.301374e+04
4,30,10,1.013038e+04
4,30,20,6.666320e+03
4,30,30,3.208476e+03
4,30,40,1.743747e+03
4,30,50,1.062039e+03
4,30,60,9.651585e+02
4,30,70,5.082727e+02
4,30,80,4.910377e+02
4,30,90,4.910377e+02
4,30,100,4.910377e+02
4,30,1,1.710900e+04
4,30,2,1.262653e+04
4,30,3,1.262653e+04
4,30,5,9.214922e+03
4,30,10,9.214922e+03
4,30,20,6.969827e+03
4,30,30,3.120049e+03
4,30,40,1.487135e+03
4,30,50,1.487135e+03
4,30,60,1.418301e+03
4,30,70,1.172860e+03
4,30,80,1.172860e+03
4,30,90,1.172860e+03
4,30,100,1.172860e+03
4,30,1,7.420441e+03
4,30,2,7.420441e+03
4,30,3,7.420441e+03
4,30,5,7.420441e+03
4,30,10,5.540357e+03
4,30,20,5.540357e+03
4,30,30,3.106884e+03
4,30,40,1.123484e+03
4,30,50,1.123484e+03
4,30,60,8.937923e+02
4,30,70,8.937923e+02
4,30,80,8.937923e+02
4,30,90,8.937923e+02
4,30,100,8.937923e+02
4,30,1,2.244677e+04
4,30,2,2.075369e+04
4,30,3,1.967786e+04
4,30,5,1.797326e+04
4,30,10,1.229215e+04
4,30,20,6.284930e+03
4,30,30,1.696824e+03
4,30,40,1.356643e+03
4,30,50,1.258150e+03
4,30,60,8.288789e+02
4,30,70,7.054899e+02
4,30,80,7.054899e+02
4,30,90,7.054899e+02
4,30,100,7.054899e+02
4,30,1,1.948365e+04
4,30,2,1.948365e+04
4,30,3,1.491871e+04
4,30,5,1.206047e+04
4,30,10,5.884127e+03
4,30,20,4.126838e+03
4,30,30,2.478822e+03
4,30,40,1.911824e+03
4,30,50,1.407868e+03
4,30,60,1.407868e+03
4,30,70,1.125318e+03
4,30,80,1.125318e+03
4,30,90,1.125318e+03
4,30,100,1.125318e+03
4,30,1,2.273276e+04
4,30,2,1.295077e+04
4,30,3,1.295077e+04
4,30,5,1.148827e+04
4,30,10,1.072823e+04
4,30,20,4.590896e+03
4,30,30,3.689712e+03
4,30,40,2.099025e+03
4,30,50,1.015253e+03
4,30,60,1.015253e+03
4,30,70,8.517531e+02
4,30,80,8.517531e+02
4,30,90,8.304563e+02
4,30,100,8.304563e+02
4,30,1,9.870470e+03
4,30,2,9.870470e+03
4,30,3,9.870470e+03
4,30,5,9.870470e+03
4,30,10,6.951652e+03
4,30,20,6.951652e+03
4,30,30,3.128978e+03
4,30,40,2.362228e+03
4,30,50,1.789768e+03
4,30,60,1.514972e+03
4,30,70,1.514972e+03
4,30,80,1.218832e+03
4,30,90,1.218832e+03
4,30,100,1.218832e+03
4,30,1,2.389712e+04
4,30,2,9.772135e+03
4,30,3,9.772135e+03
4,30,5,9.772135e+03
4,30,10,9.772135e+03
4,30,20,5.235730e+03
4,30,30,3.545567e+03
4,30,40,2.353472e+03
4,30,50,1.765757e+03
4,30,60,1.343762e+03
4,30,70,9.390162e+02
4,30,80,9.390162e+02
4,30,90,9.390162e+02
4,30,100,9.390162e+02
4,30,1,1.182059e+04
4,30,2,1.182059e+04
4,30,3,1.182059e+04
4,30,5,1.067670e+04
4,30,10,5.457050e+03
4,30,20,5.457050e+03
4,30,30,4.276223e+03
4,30,40,2.020321e+03
4,30,50,1.691432e+03
4,30,60,9.773352e+02
4,30,70,8.141240e+02
4,30,80,8.141240e+02
4,30,90,8.141240e+02
4,30,100,8.141240e+02
4,30,1,1.098775e+04
4,30,2,1.098775e+04
4,30,3,1.098775e+04
4,30,5,1.098775e+04
4,30,10,1.098775e+04
4,30,20,6.028112e+03
4,30,30,4.198816e+03
4,30,40,3.134728e+03
4,30,50,3.134728e+03
4,30,60,1.605302e+03
4,30,70,1.134908e+03
4,30,80,1.134908e+03
4,30,90,1.134908e+03
4,30,100,1.134908e+03
4,30,1,1.301374e+04
4,30,2,1.301374e+04
4,30,3,1.301374e+04
4,30,5,1.301374e+04
4,30,10,1.013038e+04
4,30,20,6.666320e+03
4,30,30,3.208476e+03
4,30,40,1.743747e+03
4,30,50,1.062039e+03
4,30,60,9.651585e+02
4,30,70,5.082727e+02
4,30,80,4.910377e+02
4,30,90,4.910377e+02
4,30,100,4.910377e+02
