funcid,dim,milestone,error
25,50,1,4.300166e+04
25,50,2,4.294407e+04
25,50,3,4.294407e+04
25,50,5,4.042301e+04
25,50,10,3.521181e+04
25,50,20,1.847052e+04
25,50,30,1.238146e+04
25,50,40,7.639715e+03
25,50,50,5.592926e+03
25,50,60,4.946572e+03
25,50,70,4.817282e+03
25,50,80,4.311111e+03
25,50,90,3.870892e+03
25,50,100,3.870892e+03
25,50,1,7.165908e+04
25,50,2,3.163101e+04
25,50,3,3.163101e+04
25,50,5,3.163101e+04
25,50,10,1.819899e+04
25,50,20,1.738281e+04
25,50,30,9.696991e+03
25,50,40,8.682702e+03
25,50,50,6.802828e+03
25,50,60,4.053536e+03
25,50,70,3.212580e+03
25,50,80,3.178790e+03
25,50,90,3.178790e+03
25,50,100,3.178790e+03
25,50,1,3.059128e+04
25,50,2,3.059128e+04
25,50,3,1.599610e+04
25,50,5,1.599610e+04
25,50,10,1.599610e+04
25,50,20,1.599610e+04
25,50,30,1.599610e+04
25,50,40,1.599610e+04
25,50,50,6.818820e+03
25,50,60,6.073267e+03
25,50,70,4.534899e+03
25,50,80,4.534899e+03
25,50,90,4.318959e+03
25,50,100,3.660151e+03
25,50,1,4.714027e+04
25,50,2,3.905533e+04
25,50,3,3.905533e+04
25,50,5,3.905533e+04
25,50,10,3.905533e+04
25,50,20,1.847322e+04
25,50,30,1.414292e+04
25,50,40,8.910195e+03
25,50,50,5.600647e+03
25,50,60,3.855146e+03
25,50,70,3.404527e+03
25,50,80,3.000802e+03
25,50,90,3.000802e+03
25,50,100,3.000802e+03
25,50,1,4.603139e+04
25,50,2,4.603139e+04
25,50,3,3.829106e+04
25,50,5,3.668446e+04
25,50,10,3.667949e+04
25,50,20,1.713652e+04
25,50,30,1.200095e+04
25,50,40,6.927924e+03
25,50,50,5.236525e+03
25,50,60,4.957934e+03
25,50,70,4.043969e+03
25,50,80,3.994956e+03
25,50,90,3.760705e+03
25,50,100,3.760705e+03
25,50,1,5.156071e+04
25,50,2,5.156071e+04
25,50,3,5.156071e+04
25,50,5,3.663666e+04
25,50,10,3.663666e+04
25,50,20,2.532542e+04
25,50,30,6.583892e+03
25,50,40,6.027892e+03
25,50,50,6.027892e+03
25,50,60,4.335843e+03
25,50,70,3.142673e+03
25,50,80,3.142673e+03
25,50,90,3.142673e+03
25,50,100,3.036713e+03
25,50,1,3.386395e+04
25,50,2,3.386395e+04
25,50,3,1.969108e+04
