Algorithm,Seed,Dataset,Ratio,K,Fitness,Distancia,Incumplimiento,Evaluaciones,Time_ms
AGG-UN,12345,zoo,15,7,1.29365,1.18827,0.0286145,100000,362
AGG-SF,12345,zoo,15,7,1.09462,0.911591,0.0496988,100000,337
AGE-UN,12345,zoo,15,7,1.06435,0.897961,0.0451807,100000,335
AGE-SF,12345,zoo,15,7,1.04545,0.90679,0.0376506,100000,334
AM-All,12345,zoo,15,7,1.16905,1.06921,0.0271084,100000,274
AM-Rand,12345,zoo,15,7,1.24463,1.03942,0.0557229,100000,320
AM-Best,12345,zoo,15,7,1.17019,1.00935,0.0436747,100000,317
AGG-UN,67890,zoo,15,7,1.04024,0.829476,0.0572289,100000,323
AGG-SF,67890,zoo,15,7,1.03128,0.831616,0.0542169,100000,321
AGE-UN,67890,zoo,15,7,1.08415,0.906667,0.0481928,100000,330
AGE-SF,67890,zoo,15,7,1.08095,0.942297,0.0376506,100000,332
AM-All,67890,zoo,15,7,1.06514,0.90984,0.0421687,100000,288
AM-Rand,67890,zoo,15,7,1.19419,1.05553,0.0376506,100000,324
AM-Best,67890,zoo,15,7,1.1047,0.938313,0.0451807,100000,316
AGG-UN,13579,zoo,15,7,1.14142,0.969486,0.0466867,100000,329
AGG-SF,13579,zoo,15,7,1.08424,0.923395,0.0436747,100000,327
AGE-UN,13579,zoo,15,7,1.20183,1.08536,0.0316265,100000,336
AGE-SF,13579,zoo,15,7,1.0046,0.854849,0.0406627,100000,334
AM-All,13579,zoo,15,7,1.06156,0.922904,0.0376506,100000,274
AM-Rand,13579,zoo,15,7,1.06693,0.867265,0.0542169,100000,317
AM-Best,13579,zoo,15,7,1.12683,0.965991,0.0436747,100000,315
AGG-UN,24680,zoo,15,7,1.05913,0.84837,0.0572289,100000,332
AGG-SF,24680,zoo,15,7,1.06057,0.938554,0.0331325,100000,333
AGE-UN,24680,zoo,15,7,1.05689,0.801763,0.0692771,100000,326
AGE-SF,24680,zoo,15,7,1.14275,1.01519,0.0346386,100000,341
AM-All,24680,zoo,15,7,1.07561,0.936955,0.0376506,100000,269
AM-Rand,24680,zoo,15,7,1.10517,0.960966,0.0391566,100000,312
AM-Best,24680,zoo,15,7,1.28194,1.1932,0.0240964,100000,311
AGG-UN,98765,zoo,15,7,1.12742,1.01095,0.0316265,100000,330
AGG-SF,98765,zoo,15,7,1.18704,1.04839,0.0376506,100000,328
AGE-UN,98765,zoo,15,7,1.06508,0.926419,0.0376506,100000,335
AGE-SF,98765,zoo,15,7,1.21476,1.07056,0.0391566,100000,335
AM-All,98765,zoo,15,7,1.21341,1.13022,0.0225904,100000,272
AM-Rand,98765,zoo,15,7,1.07736,0.922063,0.0421687,100000,314
AM-Best,98765,zoo,15,7,1.18488,1.04067,0.0391566,100000,316
AGG-UN,43210,zoo,15,7,1.01629,0.833266,0.0496988,100000,325
AGG-SF,43210,zoo,15,7,1.27691,1.1438,0.0361446,100000,320
AGE-UN,43210,zoo,15,7,1.09775,0.931366,0.0451807,100000,334
AGE-SF,43210,zoo,15,7,1.02301,0.817794,0.0557229,100000,338
AM-All,43210,zoo,15,7,1.11206,0.967856,0.0391566,100000,268
AM-Rand,43210,zoo,15,7,1.05931,0.948388,0.0301205,100000,311
AM-Best,43210,zoo,15,7,1.06574,0.954811,0.0301205,100000,310
AGG-UN,10293,zoo,15,7,1.09549,0.945742,0.0406627,100000,332
AGG-SF,10293,zoo,15,7,1.05919,0.870621,0.0512048,100000,326
AGE-UN,10293,zoo,15,7,1.06462,0.925958,0.0376506,100000,335
AGE-SF,10293,zoo,15,7,1.08129,0.93154,0.0406627,100000,333
AM-All,10293,zoo,15,7,1.10122,0.984747,0.0316265,100000,273
AM-Rand,10293,zoo,15,7,1.09853,0.976508,0.0331325,100000,317
AM-Best,10293,zoo,15,7,1.14899,0.965967,0.0496988,100000,314
AGG-UN,84756,zoo,15,7,1.06923,0.908389,0.0436747,100000,337
AGG-SF,84756,zoo,15,7,1.06606,0.94959,0.0316265,100000,330
AGE-UN,84756,zoo,15,7,1.19433,1.03903,0.0421687,100000,353
AGE-SF,84756,zoo,15,7,1.097,0.886238,0.0572289,100000,365
AM-All,84756,zoo,15,7,1.01895,0.808188,0.0572289,100000,305
AM-Rand,84756,zoo,15,7,1.09662,0.824852,0.0737952,100000,344
AM-Best,84756,zoo,15,7,1.10257,0.975009,0.0346386,100000,342
AGG-UN,97531,zoo,15,7,1.10213,0.935739,0.0451807,100000,366
AGG-SF,97531,zoo,15,7,1.13542,0.935754,0.0542169,100000,360
AGE-UN,97531,zoo,15,7,1.04357,0.8439,0.0542169,100000,369
