funcid,dim,milestone,error
15,50,1,1.051724e+05
15,50,2,1.050042e+05
15,50,3,1.048476e+05
15,50,5,1.045168e+05
15,50,10,1.037387e+05
15,50,20,1.022119e+05
15,50,30,1.007845e+05
15,50,40,9.935134e+04
15,50,50,9.796778e+04
15,50,60,9.664013e+04
15,50,70,9.532050e+04
15,50,80,9.405873e+04
15,50,90,9.280834e+04
15,50,100,9.159107e+04
15,50,1,1.997121e+05
15,50,2,1.993617e+05
15,50,3,1.990380e+05
15,50,5,1.983636e+05
15,50,10,1.966669e+05
15,50,20,1.935529e+05
15,50,30,1.904142e+05
15,50,40,1.873746e+05
15,50,50,1.843794e+05
15,50,60,1.815161e+05
15,50,70,1.786574e+05
15,50,80,1.759111e+05
15,50,90,1.732424e+05
15,50,100,1.706077e+05
15,50,1,2.142513e+05
15,50,2,2.137814e+05
15,50,3,2.132863e+05
15,50,5,2.123252e+05
15,50,10,2.099909e+05
15,50,20,2.055055e+05
15,50,30,2.012440e+05
15,50,40,1.972293e+05
15,50,50,1.933457e+05
15,50,60,1.895093e+05
15,50,70,1.858752e+05
15,50,80,1.822658e+05
15,50,90,1.787566e+05
15,50,100,1.755188e+05
15,50,1,5.065402e+04
15,50,2,5.061378e+04
15,50,3,5.057803e+04
15,50,5,5.050387e+04
15,50,10,5.031107e+04
15,50,20,4.993650e+04
15,50,30,4.957822e+04
15,50,40,4.922280e+04
15,50,50,4.887048e+04
15,50,60,4.851697e+04
15,50,70,4.817154e+04
15,50,80,4.782822e+04
15,50,90,4.750234e+04
15,50,100,4.717301e+04
15,50,1,4.353294e+04
15,50,2,4.349244e+04
15,50,3,4.344743e+04
15,50,5,4.336013e+04
15,50,10,4.315466e+04
15,50,20,4.274039e+04
15,50,30,4.233693e+04
15,50,40,4.194423e+04
15,50,50,4.155420e+04
15,50,60,4.116877e+04
15,50,70,4.079698e+04
15,50,80,4.042582e+04
15,50,90,4.005946e+04
15,50,100,3.971086e+04
15,50,1,6.327542e+04
15,50,2,6.323811e+04
15,50,3,6.319893e+04
15,50,5,6.311989e+04
15,50,10,6.292411e+04
15,50,20,6.254055e+04
15,50,30,6.217550e+04
15,50,40,6.179889e+04
15,50,50,6.143631e+04
15,50,60,6.106978e+04
15,50,70,6.070511e+04
15,50,80,6.034634e+04
15,50,90,5.998139e+04
15,50,100,5.962737e+04
15,50,1,1.403676e+05
15,50,2,1.400804e+05
15,50,3,1.398161e+05
15,50,5,1.392830e+05
15,50,10,1.379789e+05
15,50,20,1.353382e+05
15,50,30,1.328151e+05
15,50,40,1.304266e+05
15,50,50,1.280618e+05
15,50,60,1.257313e+05
15,50,70,1.234980e+05
15,50,80,1.213380e+05
15,50,90,1.192474e+05
15,50,100,1.171853e+05
15,50,1,6.002755e+04
15,50,2,5.998118e+04
15,50,3,5.992709e+04
15,50,5,5.982228e+04
15,50,10,5.957001e+04
15,50,20,5.909505e+04
15,50,30,5.862269e+04
15,50,40,5.814070e+04
15,50,50,5.767963e+04
15,50,60,5.721708e+04
15,50,70,5.676432e+04
15,50,80,5.631834e+04
15,50,90,5.587719e+04
15,50,100,5.543411e+04
15,50,1,1.091698e+05
15,50,2,1.090216e+05
15,50,3,1.088632e+05
15,50,5,1.085515e+05
15,50,10,1.077826e+05
15,50,20,1.062667e+05
15,50,30,1.047858e+05
15,50,40,1.033508e+05
15,50,50,1.019236e+05
15,50,60,1.005366e+05
15,50,70,9.921633e+04
15,50,80,9.790583e+04
15,50,90,9.660696e+04
15,50,100,9.537931e+04
15,50,1,2.227317e+04
15,50,2,2.225840e+04
15,50,3,2.224434e+04
15,50,5,2.221558e+04
15,50,10,2.214297e+04
15,50,20,2.200428e+04
15,50,30,2.186445e+04
15,50,40,2.173111e+04
15,50,50,2.159322e+04
15,50,60,2.145762e+04
15,50,70,2.132194e+04
15,50,80,2.119085e+04
15,50,90,2.106166e+04
15,50,100,2.093351e+04
