funcid,dim,milestone,error
1,10,1,6.478125e+09
1,10,2,5.377286e+09
1,10,3,4.794362e+09
1,10,5,4.794362e+09
1,10,10,4.544241e+09
1,10,20,2.516474e+09
1,10,30,1.133049e+09
1,10,40,1.133049e+09
1,10,50,1.133049e+09
1,10,60,8.546753e+08
1,10,70,4.466618e+08
1,10,80,4.466618e+08
1,10,90,4.466618e+08
1,10,100,4.466618e+08
1,10,1,6.478125e+09
1,10,2,5.377286e+09
1,10,3,4.794362e+09
1,10,5,4.794362e+09
1,10,10,4.544241e+09
1,10,20,2.516474e+09
1,10,30,1.133049e+09
1,10,40,1.133049e+09
1,10,50,1.133049e+09
1,10,60,8.546753e+08
1,10,70,4.466618e+08
1,10,80,4.466618e+08
1,10,90,4.466618e+08
1,10,100,4.466618e+08
1,10,1,6.478125e+09
1,10,2,5.377286e+09
1,10,3,4.794362e+09
1,10,5,4.794362e+09
1,10,10,4.544241e+09
1,10,20,2.516474e+09
1,10,30,1.133049e+09
1,10,40,1.133049e+09
1,10,50,1.133049e+09
1,10,60,8.546753e+08
1,10,70,4.466618e+08
1,10,80,4.466618e+08
1,10,90,4.466618e+08
1,10,100,4.466618e+08
1,10,1,6.478125e+09
1,10,2,5.377286e+09
1,10,3,4.794362e+09
1,10,5,4.794362e+09
1,10,10,4.544241e+09
1,10,20,2.516474e+09
1,10,30,1.133049e+09
1,10,40,1.133049e+09
1,10,50,1.133049e+09
1,10,60,8.546753e+08
1,10,70,4.466618e+08
1,10,80,4.466618e+08
1,10,90,4.466618e+08
1,10,100,4.466618e+08
1,10,1,6.478125e+09
1,10,2,5.377286e+09
1,10,3,4.794362e+09
1,10,5,4.794362e+09
1,10,10,4.544241e+09
1,10,20,2.516474e+09
1,10,30,1.133049e+09
1,10,40,1.133049e+09
1,10,50,1.133049e+09
1,10,60,8.546753e+08
1,10,70,4.466618e+08
1,10,80,4.466618e+08
1,10,90,4.466618e+08
1,10,100,4.466618e+08
1,10,1,7.629702e+09
1,10,2,7.629702e+09
1,10,3,7.621856e+09
1,10,5,5.527015e+09
1,10,10,2.462901e+09
1,10,20,2.462901e+09
1,10,30,2.141041e+09
1,10,40,2.080977e+09
1,10,50,1.084747e+09
1,10,60,7.698947e+08
1,10,70,5.085742e+08
1,10,80,4.924995e+08
1,10,90,4.616491e+08
1,10,100,4.616491e+08
1,10,1,7.766825e+09
1,10,2,7.766825e+09
1,10,3,6.355212e+09
1,10,5,3.871472e+09
1,10,10,3.357863e+09
1,10,20,2.277967e+09
1,10,30,1.283387e+09
1,10,40,1.283387e+09
1,10,50,1.283387e+09
1,10,60,8.572828e+08
1,10,70,8.572828e+08
1,10,80,6.586454e+08
1,10,90,6.586454e+08
1,10,100,3.748541e+08
1,10,1,7.876525e+09
1,10,2,7.876525e+09
1,10,3,4.558472e+09
1,10,5,4.338696e+09
1,10,10,2.958817e+09
1,10,20,2.717155e+09
1,10,30,1.493890e+09
1,10,40,1.202039e+09
1,10,50,1.202039e+09
1,10,60,7.743378e+08
1,10,70,7.743378e+08
1,10,80,4.382158e+08
1,10,90,4.382158e+08
1,10,100,4.382158e+08
1,10,1,7.282734e+09
1,10,2,7.282734e+09
1,10,3,7.282734e+09
1,10,5,5.411837e+09
1,10,10,2.686075e+09
1,10,20,2.584003e+09
1,10,30,1.913877e+09
1,10,40,1.144840e+09
1,10,50,1.081578e+09
1,10,60,9.073920e+08
1,10,70,8.345189e+08
1,10,80,6.133620e+08
1,10,90,6.133620e+08
1,10,100,6.133620e+08
1,10,1,5.944014e+09
1,10,2,5.944014e+09
1,10,3,5.244969e+09
1,10,5,4.600603e+09
1,10,10,3.078340e+09
1,10,20,2.883637e+09
1,10,30,1.322260e+09
1,10,40,1.195928e+09
1,10,50,1.064406e+09
1,10,60,9.318613e+08
1,10,70,6.544858e+08
1,10,80,4.083922e+08
1,10,90,4.083922e+08
1,10,100,4.083922e+08
1,10,1,8.802837e+09
1,10,2,8.802837e+09
1,10,3,4.263528e+09
1,10,5,3.984786e+09
1,10,10,2.497299e+09
1,10,20,2.497299e+09
1,10,30,2.014501e+09
1,10,40,1.942252e+09
1,10,50,1.233240e+09
1,10,60,7.940281e+08
1,10,70,7.589617e+08
1,10,80,7.533580e+08
1,10,90,4.516338e+08
