Algorithm,Dataset,Ratio,Fitness_mean,Fitness_std,Distancia_mean,Distancia_std,Incumplimiento_mean,Incumplimiento_std,Evaluaciones_mean,Time_ms_mean,Time_ms_std
Greedy,./code/data/bupa,15,0.24,0.0024,0.239,0.0021,0.0007,0.0004,1.0,326.2,52.3913
Greedy,./code/data/bupa,30,0.2676,0.0025,0.2476,0.0025,0.0133,0.0005,1.0,695.5,99.2765
Greedy,./code/data/glass,15,0.488,0.0063,0.4276,0.0039,0.0283,0.0024,1.0,24.9,2.9231
Greedy,./code/data/glass,30,0.5592,0.0065,0.4259,0.005,0.0625,0.0015,1.0,63.7,16.2894
Greedy,./code/data/zoo,15,1.5067,0.029,1.4973,0.0293,0.0026,0.0014,1.0,2.1,0.3162
Greedy,./code/data/zoo,30,1.7169,0.0313,1.5996,0.0251,0.0318,0.003,1.0,4.4,1.6465
LocalSearch,./code/data/bupa,15,0.1702,0.0023,0.1437,0.0028,0.0175,0.0008,82526.6,710.5,147.5144
LocalSearch,./code/data/bupa,30,0.1982,0.0024,0.1437,0.004,0.0361,0.0014,81769.3,1310.2,293.4745
LocalSearch,./code/data/glass,15,0.4041,0.0063,0.3037,0.0074,0.0471,0.0025,16262.5,70.3,15.9168
LocalSearch,./code/data/glass,30,0.4682,0.0038,0.2862,0.0039,0.0854,0.0028,17931.4,135.2,32.2621
LocalSearch,./code/data/zoo,15,1.0923,0.0368,0.9492,0.0559,0.0389,0.011,6201.6,11.6,1.8379
LocalSearch,./code/data/zoo,30,1.1968,0.0327,0.8713,0.0642,0.0884,0.0106,6201.2,14.5,3.9791
RandomSearch,./code/data/bupa,15,0.3284,0.0011,0.2479,0.0015,0.0533,0.0009,100000.0,1680.2,131.6078
RandomSearch,./code/data/bupa,30,0.3335,0.0007,0.2469,0.002,0.0574,0.0013,100000.0,2823.7,348.8878
RandomSearch,./code/data/glass,15,0.6796,0.0035,0.4289,0.0051,0.1176,0.0028,100000.0,865.7,62.3628
RandomSearch,./code/data/glass,30,0.6968,0.0023,0.4214,0.0037,0.1292,0.0018,100000.0,1378.4,144.3139
RandomSearch,./code/data/zoo,15,1.9318,0.0133,1.5668,0.062,0.0991,0.0164,100000.0,444.4,46.1909
RandomSearch,./code/data/zoo,30,1.9693,0.0197,1.5049,0.0821,0.1261,0.0213,100000.0,484.4,13.9459
