Algorithm,Seed,Dataset,Ratio,K,Fitness,Distancia,Incumplimiento,Evaluaciones,Time_ms
Greedy,67890,./code/data/glass,15,7,0.492134,0.431227,0.0285626,1,23
LocalSearch,67890,./code/data/glass,15,7,0.403075,0.297149,0.049674,11732,56
RandomSearch,13579,./code/data/glass,15,7,0.678552,0.42102,0.12077,100000,928
Greedy,13579,./code/data/glass,15,7,0.489027,0.430106,0.0276312,1,25
LocalSearch,13579,./code/data/glass,15,7,0.399575,0.294311,0.0493636,13839,60
RandomSearch,24680,./code/data/glass,15,7,0.681252,0.426368,0.119528,100000,842
Greedy,24680,./code/data/glass,15,7,0.490715,0.423849,0.0313567,1,21
LocalSearch,24680,./code/data/glass,15,7,0.407064,0.310407,0.0453275,16032,67
RandomSearch,98765,./code/data/glass,15,7,0.678824,0.434533,0.114561,100000,810
Greedy,98765,./code/data/glass,15,7,0.48119,0.423593,0.0270102,1,30
LocalSearch,98765,./code/data/glass,15,7,0.40599,0.310657,0.0447066,13429,55
RandomSearch,43210,./code/data/glass,15,7,0.682147,0.423954,0.12108,100000,822
Greedy,43210,./code/data/glass,15,7,0.485779,0.433478,0.0245265,1,24
LocalSearch,43210,./code/data/glass,15,7,0.401586,0.296985,0.0490531,20878,85
RandomSearch,10293,./code/data/glass,15,7,0.673518,0.427903,0.115182,100000,813
Greedy,10293,./code/data/glass,15,7,0.484598,0.427,0.0270102,1,27
LocalSearch,10293,./code/data/glass,15,7,0.401961,0.295373,0.0499845,16134,67
RandomSearch,84756,./code/data/glass,15,7,0.67764,0.429377,0.116423,100000,814
Greedy,84756,./code/data/glass,15,7,0.492099,0.429205,0.0294939,1,24
LocalSearch,84756,./code/data/glass,15,7,0.412199,0.312232,0.0468799,13049,57
RandomSearch,97531,./code/data/glass,15,7,0.68497,0.436707,0.116423,100000,814
Greedy,97531,./code/data/glass,15,7,0.475764,0.420815,0.0257684,1,21
LocalSearch,97531,./code/data/glass,15,7,0.395152,0.302467,0.0434648,25785,106
RandomSearch,8642,./code/data/glass,15,7,0.68205,0.423857,0.12108,100000,972
Greedy,8642,./code/data/glass,15,7,0.49083,0.427275,0.0298044,1,26
LocalSearch,8642,./code/data/glass,15,7,0.415962,0.312685,0.0484322,16707,74
RandomSearch,12345,./code/data/glass,30,7,0.699567,0.424323,0.129076,100000,1253
Greedy,12345,./code/data/glass,30,7,0.559667,0.425409,0.0629602,1,68
LocalSearch,12345,./code/data/glass,30,7,0.46395,0.289961,0.0815928,16787,116
RandomSearch,67890,./code/data/glass,30,7,0.698154,0.424193,0.128475,100000,1647
Greedy,67890,./code/data/glass,30,7,0.557251,0.429723,0.0598047,1,103
LocalSearch,67890,./code/data/glass,30,7,0.470569,0.285365,0.086852,20190,154
RandomSearch,13579,./code/data/glass,30,7,0.694423,0.426229,0.12577,100000,1290
Greedy,13579,./code/data/glass,30,7,0.566427,0.43249,0.0628099,1,52
LocalSearch,13579,./code/data/glass,30,7,0.469702,0.291546,0.0835462,16914,122
RandomSearch,24680,./code/data/glass,30,7,0.697165,0.422241,0.128926,100000,1404
Greedy,24680,./code/data/glass,30,7,0.552492,0.418235,0.0629602,1,61
LocalSearch,24680,./code/data/glass,30,7,0.469183,0.287503,0.0851991,17693,128
RandomSearch,98765,./code/data/glass,30,7,0.692887,0.416042,0.129827,100000,1240
Greedy,98765,./code/data/glass,30,7,0.547655,0.417884,0.0608565,1,63
LocalSearch,98765,./code/data/glass,30,7,0.465824,0.28094,0.0867017,12433,88
RandomSearch,43210,./code/data/glass,30,7,0.697998,0.425639,0.127724,100000,1285
Greedy,43210,./code/data/glass,30,7,0.55597,0.422674,0.0625094,1,74
LocalSearch,43210,./code/data/glass,30,7,0.470627,0.281257,0.0888054,24279,201
RandomSearch,10293,./code/data/glass,30,7,0.699935,0.417322,0.132532,100000,1514
Greedy,10293,./code/data/glass,30,7,0.561867,0.427609,0.0629602,1,62
LocalSearch,10293,./code/data/glass,30,7,0.464972,0.287457,0.0832457,18955,156
RandomSearch,84756,./code/data/glass,30,7,0.695281,0.420998,0.128625,100000,1453
Greedy,84756,./code/data/glass,30,7,0.562847,0.429551,0.0625094,1,59
LocalSearch,84756,./code/data/glass,30,7,0.473821,0.281246,0.090308,9277,102
RandomSearch,97531,./code/data/glass,30,7,0.694948,0.418423,0.129677,100000,1486
Greedy,97531,./code/data/glass,30,7,0.569899,0.430194,0.0655147,1,51
LocalSearch,97531,./code/data/glass,30,7,0.471239,0.290199,0.0848986,19765,132
RandomSearch,8642,./code/data/glass,30,7,0.697328,0.418239,0.130879,100000,1212
Greedy,8642,./code/data/glass,30,7,0.557618,0.424962,0.0622089,1,44
LocalSearch,8642,./code/data/glass,30,7,0.462053,0.286141,0.0824944,23021,153
RandomSearch,12345,./code/data/bupa,15,16,0.329233,0.248861,0.053251,100000,1658
Greedy,12345,./code/data/bupa,15,16,0.239318,0.238615,0.000466092,1,344
LocalSearch,12345,./code/data/bupa,15,16,0.171752,0.146427,0.0167793,51647,466
RandomSearch,67890,./code/data/bupa,15,16,0.325443,0.246126,0.0525519,100000,1630
Greedy,67890,./code/data/bupa,15,16,0.243914,0.241804,0.00139828,1,282
LocalSearch,67890,./code/data/bupa,15,16,0.170694,0.143258,0.0181776,64588,549
RandomSearch,13579,./code/data/bupa,15,16,0.328414,0.245052,0.0552319,100000,1611
Greedy,13579,./code/data/bupa,15,16,0.236721,0.235841,0.000582615,1,305
LocalSearch,13579,./code/data/bupa,15,16,0.175213,0.148657,0.017595,58102,511
RandomSearch,24680,./code/data/bupa,15,16,0.328083,0.247359,0.053484,100000,1630
Greedy,24680,./code/data/bupa,15,16,0.238263,0.23756,0.000466092,1,283
LocalSearch,24680,./code/data/bupa,15,16,0.170755,0.143671,0.0179445,92811,780
RandomSearch,98765,./code/data/bupa,15,16,0.328374,0.249057,0.0525519,100000,1641
Greedy,98765,./code/data/bupa,15,16,0.238435,0.237907,0.000349569,1,360
LocalSearch,98765,./code/data/bupa,15,16,0.167368,0.140987,0.0174784,85670,714
RandomSearch,43210,./code/data/bupa,15,16,0.328149,0.249535,0.0520858,100000,1621
Greedy,43210,./code/data/bupa,15,16,0.240195,0.238964,0.000815661,1,284
LocalSearch,43210,./code/data/bupa,15,16,0.16794,0.143142,0.0164297,100000,852
RandomSearch,10293,./code/data/bupa,15,16,0.328813,0.247209,0.0540667,100000,2010
Greedy,10293,./code/data/bupa,15,16,0.241277,0.239871,0.000932184,1,428
LocalSearch,10293,./code/data/bupa,15,16,0.170106,0.143198,0.017828,91261,792
RandomSearch,84756,./code/data/bupa,15,16,0.329327,0.249658,0.0527849,100000,1603
